date,T1,T3,T6,T5,T8,T10
2010-08-31,1.8806210729143964e-08,2.2420000952576823e-13,9.888404836015799e-12,5.866903468933846e-13,8.068763062067333e-08,2.254778145307814e-11
2010-09-30,8.974224536984062e-11,3.612742966299646e-15,1.4608861955019127e-13,8.937479084547122e-15,1.987858687117231e-09,1.4040384216751334e-12
2010-10-31,,,,,,
2010-11-30,2.497540826239597e-11,6.327064119482905e-14,8.323500306920773e-13,7.672648160549517e-12,3.609533551475631e-11,3.523164263721788e-11
2010-12-31,8.714036429449496e-10,1.0813687716596424e-13,3.5290852439944805e-12,1.807346845005513e-12,7.184645173577396e-10,3.1608224330460674e-11
2011-01-31,2.5685372893303285e-12,4.719330633945627e-13,2.0367035419148744e-10,6.515707813168765e-11,1.0696032975543912e-09,1.5815131783073006e-09
2011-02-28,,,,,,
2011-03-31,5.09521114540317e-15,1.4594706764289189e-15,7.568161488244958e-14,1.0263839982407111e-14,3.297843296375774e-12,1.9489194698979103e-11
2011-04-30,1.6960941628772133e-13,4.565593706007592e-13,9.304040614189325e-09,2.6808961371506057e-12,4.715273628309791e-10,9.715507839334802e-09
2011-05-31,,,,,,
2011-06-30,7.653858506342564e-12,3.632654761141435e-14,3.372593862131178e-11,1.5609312557492936e-13,4.961743227911559e-11,5.9390685310325085e-09
2011-07-31,,,,,,
2011-08-31,1.1512888843776582e-07,5.92366968248805e-12,1.0452431092575845e-11,1.436484184041778e-11,1.4945912763446615e-06,6.682764406274676e-09
2011-09-30,5.134975629440774e-09,7.844797457012229e-14,3.753443138800666e-12,7.461641944644355e-11,6.9761270579211525e-09,4.078580890251768e-10
2011-10-31,,,,,,
2011-11-30,8.61846906348312e-11,7.604693554993596e-12,6.315375029948772e-11,1.4365706831268352e-12,2.8152920152449657e-10,9.123908013499284e-10
2011-12-31,1.6651226154443312e-12,3.570570095973612e-13,3.2516817514655176e-12,2.6925818916578113e-12,8.992153716521843e-13,1.5398140202729354e-10
2012-01-31,7.73530080809018e-14,2.4662630487698596e-06,3.586697560050851e-06,7.611623126733034e-06,5.485294160081905e-13,0.00014455787022003144
2012-02-29,,,,,,
2012-03-31,8.229760506549698e-15,1.049428986866957e-06,1.206023941462591e-05,1.0198082439985208e-07,1.1201085901669357e-12,0.00010254128981063147
2012-04-30,1.6847420905568837e-14,2.525401365071774e-07,4.748801263015178e-06,4.067539928478979e-08,6.280215791305754e-13,3.650075695795148e-05
2012-05-31,,,,,,
2012-06-30,1.3645623574824942e-12,1.4386004221363576e-06,5.309993702663287e-06,8.227954107809258e-08,3.852834620273219e-12,4.302998179366302e-05
2012-07-31,,,,,,
2012-08-31,3.919074495495919e-12,4.823154912486642e-07,1.415159357370868e-05,3.8630680643920046e-08,2.6893699850382457e-11,0.00014543229744806555
2012-09-30,1.415790353518497e-12,3.903691931878649e-09,7.032714421695959e-08,1.996981144848685e-08,9.73905210612386e-13,7.730801001584504e-06
2012-10-31,4.089218098637776e-09,1.295560779410482e-08,1.3322980463315598e-07,7.025460564925422e-08,8.328018468009781e-10,6.058535566878163e-05
2012-11-30,,,,,,
2012-12-31,1.1367177353936943e-11,1.3538447935719152e-08,9.657046977747797e-07,1.2125512282205798e-06,1.0702208368350954e-09,8.573581318502825e-07
2013-01-31,1.173944005547663e-11,9.487617906289857e-10,2.0281699622488727e-09,6.364570217127812e-09,3.608173240881634e-11,1.4783245071394133e-06
2013-02-28,,,,,,
2013-03-31,2.4293643108895477e-14,7.360673187316163e-09,6.854242035490553e-09,7.041637041779797e-08,5.5078898360989497e-14,1.7093321012618714e-07
2013-04-30,,,,,,
2013-05-31,7.769812070645995e-13,1.0363882163289963e-08,6.225983126457048e-08,2.780193616271098e-09,3.04013852617364e-12,5.785898601424635e-06
2013-06-30,5.090300658688362e-10,3.194365947893027e-09,8.912851170897265e-07,5.557844120808894e-09,7.520655447440047e-11,1.357996309723539e-05
2013-07-31,4.7832793924889244e-12,1.4361845606340837e-09,4.16726534369693e-08,1.4155135832214418e-10,0.0005333536114126302,1.2771746534053922e-06
2013-08-31,,,,,,
2013-09-30,9.4174966877682e-10,3.547403219364795e-08,1.876179365099042e-07,3.1409719619535886e-09,2.0126522466275677e-12,1.0365837771068682e-05
2013-10-31,1.0624537536871592e-09,1.6800123508225714e-09,3.742189117527683e-08,2.6003968936274205e-07,1.7928570280760468e-10,7.699572364458162e-07
2013-11-30,,,,,,
2013-12-31,1.4226573164087091e-09,1.6016447083641514e-07,1.1798404924024886e-05,4.7247570532221355e-07,1.5705540307308034e-09,0.0007946074122058971
2014-01-31,1.3883501981664297e-12,5.712717871864515e-10,3.371213535350743e-08,3.431875241068482e-09,1.9844273246785338e-13,5.697100300093717e-05
2014-02-28,,,,,,
2014-03-31,1.1739113497911868e-13,1.9250050116796358e-09,1.0516163163612725e-07,3.027065594091309e-09,1.7550933042364694e-13,0.00011305755934517543
2014-04-30,8.29638260634988e-19,2.340043621709156e-09,1.0407723932554112e-07,2.7758574698263103e-09,5.724760775142928e-17,1.2418127377521566e-05
2014-05-31,,,,,,
2014-06-30,8.687751088501067e-14,3.085363752524646e-09,1.253547669807431e-06,6.44388992221646e-08,1.5149382140011384e-13,0.01952393206076827
2014-07-31,1.472427981279359e-13,1.7528402058510424e-08,1.7980831522209357e-07,1.680623387217413e-08,6.664937765821847e-12,0.04413094120258813
2014-08-31,,,,,,
2014-09-30,1.4095920756895068e-10,1.426299751810128e-07,3.9553761335444465e-06,5.017500754554267e-08,6.838995212217563e-12,0.20742832994353563
